[2026-05-01 20:50:48,872][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Attention_Is_All_You_Need&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
[2026-05-01 20:50:49,085][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Attention_Is_All_You_Need&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
[2026-05-01 20:50:49,085][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Attention Is All You Need&explaintext=1&exsectionformat=wiki
[2026-05-01 20:50:49,160][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Attention+Is+All+You+Need&explaintext=1&exsectionformat=wiki "HTTP/1.1 200 OK"
[2026-05-01 20:50:49,178][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=BERT_(language_model)&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
[2026-05-01 20:50:49,289][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=BERT_%28language_model%29&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
[2026-05-01 20:50:49,289][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=BERT (language model)&explaintext=1&exsectionformat=wiki
[2026-05-01 20:50:49,377][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=BERT+%28language+model%29&explaintext=1&exsectionformat=wiki "HTTP/1.1 200 OK"
[2026-05-01 20:50:49,394][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=GPT-4&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
[2026-05-01 20:50:49,471][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=GPT-4&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
[2026-05-01 20:50:49,471][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=GPT-4&explaintext=1&exsectionformat=wiki
[2026-05-01 20:50:49,536][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=GPT-4&explaintext=1&exsectionformat=wiki "HTTP/1.1 200 OK"
[2026-05-01 20:50:49,574][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Retrieval-augmented_generation&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
[2026-05-01 20:50:49,673][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Retrieval-augmented_generation&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
[2026-05-01 20:50:49,682][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Retrieval-augmented generation&explaintext=1&exsectionformat=wiki
[2026-05-01 20:50:49,749][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Retrieval-augmented+generation&explaintext=1&exsectionformat=wiki "HTTP/1.1 200 OK"
[2026-05-01 20:50:49,779][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=LoRA_(machine learning)&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
